,Avergare Distint Names,Current Distint Names,# MonteCarlo's Distint Names > Current Distint Names,# MonteCarlo's Distint Names < Current Distint Names,# MonteCarlo's Distint Names = Current Distint Names,P(MonteCarlo's Distint Names > Current Distint Names),P(MonteCarlo's Distint Names < Current Distint Names),P(MonteCarlo's Distint Names = Current Distint Names),Iterations
Secretaría General de Gobierno- TOP 10%,44.719,47,39,828,133,0.039,0.828,0.133,1000
Secretaría General de Gobierno- BOTTOM 90%,52.407,50,822,89,89,0.822,0.089,0.089,1000
Municipios de Ñuble- TOP 10%,115.825,189,0,1000,0,0.0,1.0,0.0,1000
Municipios de Ñuble- BOTTOM 90%,188.0,1262,0,1000,0,0.0,1.0,0.0,1000
La Mujer y Equidad de Género- TOP 10%,73.704,80,16,967,17,0.016,0.967,0.017,1000
La Mujer y Equidad de Género- BOTTOM 90%,86.642,89,196,702,102,0.196,0.702,0.102,1000
Energía- TOP 10%,71.517,76,22,939,39,0.022,0.939,0.039,1000
Energía- BOTTOM 90%,64.179,65,290,546,164,0.29,0.546,0.164,1000
Municipios del Libertador General Bernardo OHiggins- TOP 10%,174.414,222,0,1000,0,0.0,1.0,0.0,1000
Municipios del Libertador General Bernardo OHiggins- BOTTOM 90%,863.67,1328,0,1000,0,0.0,1.0,0.0,1000
Municipios de Aysen del General Carlos Ibáñez del Campo- TOP 10%,131.487,140,43,935,22,0.043,0.935,0.022,1000
Municipios de Aysen del General Carlos Ibáñez del Campo- BOTTOM 90%,339.326,349,162,806,32,0.162,0.806,0.032,1000
Trabajo y Previsión Social- TOP 10%,222.222,260,0,1000,0,0.0,1.0,0.0,1000
Trabajo y Previsión Social- BOTTOM 90%,361.814,384,15,980,5,0.015,0.98,0.005,1000
Salud- TOP 10%,1475.36,1787,0,1000,0,0.0,1.0,0.0,1000
Salud- BOTTOM 90%,3658.665,4459,0,1000,0,0.0,1.0,0.0,1000
Municipios de Atacama- TOP 10%,52.239,57,18,957,25,0.018,0.957,0.025,1000
Municipios de Atacama- BOTTOM 90%,422.082,502,0,1000,0,0.0,1.0,0.0,1000
Educación- TOP 10%,375.516,436,0,1000,0,0.0,1.0,0.0,1000
Educación- BOTTOM 90%,1703.882,1724,221,768,11,0.221,0.768,0.011,1000
