,Avergare Distint Names,Current Distint Names,# MonteCarlo's Distint Names > Current Distint Names,# MonteCarlo's Distint Names < Current Distint Names,# MonteCarlo's Distint Names = Current Distint Names,P(MonteCarlo's Distint Names > Current Distint Names),P(MonteCarlo's Distint Names < Current Distint Names),P(MonteCarlo's Distint Names = Current Distint Names),Iterations
Secretaría General de Gobierno- TOP 10%,44.62,47,3,85,12,0.03,0.85,0.12,100
Secretaría General de Gobierno- BOTTOM 90%,52.35,50,83,9,8,0.83,0.09,0.08,100
Municipios de Ñuble- TOP 10%,114.91,189,0,100,0,0.0,1.0,0.0,100
Municipios de Ñuble- BOTTOM 90%,188.0,1262,0,100,0,0.0,1.0,0.0,100
La Mujer y Equidad de Género- TOP 10%,73.44,80,1,97,2,0.01,0.97,0.02,100
La Mujer y Equidad de Género- BOTTOM 90%,86.51,89,19,69,12,0.19,0.69,0.12,100
Energía- TOP 10%,71.59,76,3,94,3,0.03,0.94,0.03,100
Energía- BOTTOM 90%,64.28,65,39,49,12,0.39,0.49,0.12,100
Municipios del Libertador General Bernardo OHiggins- TOP 10%,174.5,222,0,100,0,0.0,1.0,0.0,100
Municipios del Libertador General Bernardo OHiggins- BOTTOM 90%,865.76,1328,0,100,0,0.0,1.0,0.0,100
Municipios de Aysen del General Carlos Ibáñez del Campo- TOP 10%,131.93,140,4,94,2,0.04,0.94,0.02,100
Municipios de Aysen del General Carlos Ibáñez del Campo- BOTTOM 90%,338.9,349,20,77,3,0.2,0.77,0.03,100
Trabajo y Previsión Social- TOP 10%,222.75,260,0,100,0,0.0,1.0,0.0,100
Trabajo y Previsión Social- BOTTOM 90%,361.34,384,5,95,0,0.05,0.95,0.0,100
Salud- TOP 10%,1477.04,1787,0,100,0,0.0,1.0,0.0,100
Salud- BOTTOM 90%,3655.48,4459,0,100,0,0.0,1.0,0.0,100
Municipios de Atacama- TOP 10%,52.39,57,0,96,4,0.0,0.96,0.04,100
Municipios de Atacama- BOTTOM 90%,423.51,502,0,100,0,0.0,1.0,0.0,100
Educación- TOP 10%,376.12,436,0,100,0,0.0,1.0,0.0,100
Educación- BOTTOM 90%,1705.05,1724,25,75,0,0.25,0.75,0.0,100
Justicia- TOP 10%,172.04,216,0,100,0,0.0,1.0,0.0,100
Justicia- BOTTOM 90%,200.7,213,2,98,0,0.02,0.98,0.0,100
Desarrollo Social- TOP 10%,140.54,164,0,100,0,0.0,1.0,0.0,100
Desarrollo Social- BOTTOM 90%,77.27,83,3,95,2,0.03,0.95,0.02,100
Defensa Nacional- TOP 10%,281.37,326,0,100,0,0.0,1.0,0.0,100
Defensa Nacional- BOTTOM 90%,567.88,579,14,84,2,0.14,0.84,0.02,100
Municipios de La Araucanía- TOP 10%,199.77,201,41,54,5,0.41,0.54,0.05,100
Municipios de La Araucanía- BOTTOM 90%,1379.86,1604,0,100,0,0.0,1.0,0.0,100
